Event_ID,Supply_Level,Valve_Position,Measurement,STATUS
1,median,off,158,Critic
2,low,off,166,Normal
3,low,off,157,Normal
4,high,off,254,Critic
5,low,off,130,Normal
6,median,off,162,Normal
7,low,on,156,Normal
8,low,on,168,Normal
9,low,on,127,Normal
10,median,on,140,Normal
11,low,on,166,Normal
12,low,off,163,Normal
13,median,on,166,Normal
14,high,on,168,Normal
15,low,on,139,Normal
16,median,on,129,Normal
17,median,off,156,Normal
18,high,off,150,Normal
19,low,on,135,Normal
20,low,off,147,Normal
21,low,off,138,Normal
22,low,on,169,Normal
23,low,on,168,Critic
24,median,off,278,Critic
25,low,off,284,Critic
26,high,on,125,Normal
27,low,on,163,Normal
28,low,on,136,Normal
29,high,on,202,Critic
30,high,on,220,Critic
31,low,on,128,Normal
32,low,on,148,Normal
33,low,on,125,Normal
34,high,off,159,Critic
35,low,off,166,Normal
36,low,off,153,Normal
37,median,on,170,Critic
38,median,off,139,Normal
39,low,off,156,Normal
40,low,off,124,Normal
41,low,on,162,Normal
42,low,on,152,Normal
43,low,on,152,Normal
44,low,off,170,Normal
45,low,on,136,Normal
46,low,off,150,Normal
47,low,off,144,Normal
48,median,off,261,Critic
49,low,on,169,Normal
50,median,on,168,Normal
51,median,on,171,Critic
52,high,on,194,Critic
53,high,off,300,Critic
54,low,off,123,Normal
55,high,on,177,Critic
56,low,on,142,Normal
57,high,on,136,Normal
58,low,off,138,Normal
59,low,off,156,Normal
60,high,on,146,Normal
61,median,on,161,Normal
62,high,on,122,Normal
63,median,off,276,Critic
64,low,on,144,Normal
65,low,off,168,Normal
66,high,off,249,Critic
67,low,off,130,Normal
68,high,on,162,Critic
69,low,on,124,Normal
70,low,on,158,Normal
71,high,off,220,Critic
72,low,on,153,Normal
73,low,on,130,Normal
74,high,on,184,Critic
75,low,off,124,Normal
76,low,on,164,Normal
77,low,off,232,Critic
78,low,off,121,Normal
79,median,on,126,Normal
80,median,off,152,Normal
81,low,on,168,Normal
82,low,off,195,Critic
83,median,on,243,Critic
84,median,off,202,Critic
85,high,off,146,Normal
86,low,on,170,Normal
87,low,off,130,Normal
88,low,on,128,Normal
89,median,off,158,Normal
90,low,off,168,Normal
91,median,on,148,Normal
92,high,off,254,Critic
93,low,on,162,Normal
94,low,off,155,Normal
95,high,on,153,Normal
96,median,off,136,Normal
97,high,off,276,Critic
98,low,off,145,Normal
99,high,on,166,Normal
100,low,on,162,Normal
101,high,off,155,Normal
102,median,on,170,Normal
103,low,off,159,Normal
104,median,on,183,Critic
105,low,on,161,Normal
106,high,off,267,Critic
107,low,on,167,Normal
108,high,on,144,Normal
109,median,off,171,Critic
110,median,off,244,Critic
111,low,on,158,Normal
112,median,off,148,Normal
113,low,on,291,Critic
114,low,off,143,Normal
115,low,on,150,Normal
116,low,on,132,Normal
117,low,off,134,Normal
118,low,off,170,Normal
119,low,on,130,Normal
120,low,on,154,Normal
121,median,on,134,Normal
122,high,on,134,Normal
123,low,off,130,Normal
124,median,on,218,Critic
125,median,on,152,Normal
126,low,off,230,Critic
127,high,on,166,Normal
128,low,off,157,Normal
129,high,off,274,Critic
130,low,off,144,Normal
131,low,off,123,Normal
132,low,off,148,Normal
133,low,off,159,Normal
134,high,off,213,Critic
135,median,on,126,Normal
136,low,on,138,Normal
137,high,on,160,Critic
138,low,on,134,Normal
139,low,on,162,Normal
140,median,off,146,Normal
141,median,on,128,Normal
142,low,off,202,Critic
143,low,on,158,Normal
144,median,on,124,Normal
145,low,on,144,Normal
146,high,off,131,Normal
147,low,on,128,Normal
148,low,off,134,Normal
149,high,off,168,Critic
150,high,off,166,Normal
151,median,off,261,Critic
152,low,on,134,Normal
153,high,off,142,Normal
154,high,on,151,Normal
155,high,off,162,Normal
156,high,on,230,Critic
157,high,off,134,Normal
158,low,on,165,Normal
159,low,on,132,Normal
160,median,on,134,Normal
161,high,off,150,Normal
162,low,off,158,Normal
163,low,off,144,Normal
164,low,off,160,Normal
165,low,on,123,Normal
166,median,on,145,Normal
167,high,off,122,Normal
168,low,off,128,Normal
169,low,on,134,Normal
170,low,on,170,Normal
171,low,on,136,Normal
172,low,off,148,Normal
173,median,off,168,Normal
174,high,off,125,Normal
175,median,off,300,Critic
176,high,on,174,Critic
177,high,off,230,Critic
178,median,on,120,Normal
179,median,on,151,Normal
180,median,on,166,Normal
181,low,off,154,Normal
182,low,on,143,Normal
183,high,on,219,Critic
184,median,on,140,Normal
185,median,off,292,Critic
186,median,off,146,Normal
187,low,on,132,Normal
188,low,on,155,Normal
189,median,off,144,Normal
190,low,on,139,Normal
191,low,off,162,Normal
192,median,on,131,Normal
193,low,on,150,Normal
194,low,on,140,Normal
195,median,on,134,Normal
196,median,off,138,Normal
197,low,off,140,Normal
198,high,off,143,Normal
199,median,off,169,Normal
200,median,on,158,Normal
201,low,on,162,Normal
202,high,off,142,Normal
203,median,off,124,Normal
204,low,off,122,Normal
205,high,on,224,Critic
206,high,off,168,Normal
207,high,on,242,Critic
208,median,off,162,Normal
209,high,on,226,Critic
210,low,on,157,Normal
211,high,on,123,Normal
212,low,off,137,Normal
213,high,on,278,Critic
214,median,off,144,Normal
215,median,off,148,Normal
216,low,on,131,Normal
217,median,off,164,Normal
218,low,off,206,Critic
219,high,on,232,Critic
220,low,on,152,Normal
221,low,on,166,Normal
222,low,on,148,Normal
223,high,on,280,Critic
224,median,on,137,Normal
225,low,off,120,Normal
226,low,on,166,Normal
227,low,off,132,Normal
228,low,off,150,Normal
229,low,on,285,Critic
230,low,on,120,Normal
231,high,off,230,Critic
232,low,on,152,Normal
233,high,on,152,Normal
234,low,on,152,Normal
235,high,off,204,Critic
236,median,off,132,Normal
237,low,off,158,Normal
238,low,on,124,Normal
239,low,on,157,Normal
240,low,on,128,Normal
241,high,off,210,Critic
242,high,off,169,Normal
243,low,on,158,Normal
244,low,on,140,Normal
245,high,on,162,Normal
246,high,off,286,Critic
247,low,on,142,Normal
248,high,off,140,Normal
249,high,off,166,Normal
250,low,off,145,Normal
251,low,off,148,Normal
252,low,on,157,Normal
253,median,on,167,Normal
254,low,on,141,Normal
255,low,on,134,Normal
256,median,off,152,Critic
257,median,on,122,Normal
258,high,off,134,Normal
259,low,off,166,Normal
260,low,on,165,Normal
261,low,on,152,Normal
262,median,on,166,Normal
263,low,on,234,Critic
264,low,off,163,Normal
265,median,on,170,Normal
266,low,on,166,Normal
267,median,on,242,Critic
268,median,on,149,Normal
269,median,on,162,Normal
270,low,on,169,Normal
271,low,on,162,Normal
272,low,off,164,Normal
273,low,off,152,Normal
274,median,on,150,Normal
275,low,on,162,Normal
276,median,on,124,Normal
277,low,on,154,Normal
278,low,on,160,Normal
279,low,off,130,Normal
280,low,off,137,Normal
281,median,off,143,Normal
282,median,on,136,Normal
283,high,on,156,Normal
284,median,off,255,Critic
285,low,on,158,Normal
286,high,on,154,Normal
287,high,off,159,Normal
288,median,off,267,Critic
289,median,off,248,Critic
290,high,on,292,Critic
291,low,on,126,Normal
292,low,off,153,Normal
293,low,on,149,Normal
294,low,on,135,Normal
295,high,on,132,Normal
296,median,on,156,Normal
297,median,off,156,Normal
298,low,on,120,Normal
299,low,on,144,Normal
300,median,on,130,Normal
301,low,on,139,Normal
302,low,on,140,Normal
303,high,off,136,Normal
304,high,on,159,Normal
305,low,off,142,Normal
306,low,on,156,Normal
307,median,off,145,Normal
308,low,on,124,Normal
309,median,off,250,Critic
310,low,off,164,Normal
311,median,on,156,Normal
312,high,on,160,Normal
313,low,on,134,Normal
314,high,on,122,Normal
315,median,on,136,Normal
316,high,on,150,Normal
317,median,on,162,Normal
318,high,on,262,Critic
319,low,on,160,Normal
320,low,on,168,Normal
321,median,off,151,Normal
322,low,off,152,Normal
323,median,off,231,Critic
324,low,on,166,Normal
325,high,off,232,Critic
326,median,on,168,Normal
327,median,on,296,Critic
328,low,off,156,Normal
329,high,off,140,Normal
330,high,off,156,Normal
331,median,off,127,Normal
332,low,off,160,Normal
333,low,on,140,Normal
334,median,off,148,Normal
335,high,off,225,Critic
336,low,on,162,Normal
337,high,off,244,Critic
338,low,on,154,Normal
339,low,on,160,Normal
340,low,on,153,Normal
341,median,off,151,Normal
342,median,on,140,Normal
343,median,on,168,Normal
344,low,on,142,Normal
345,low,off,149,Normal
346,median,off,249,Critic
347,low,off,153,Normal
348,low,on,164,Normal
349,low,on,163,Normal
350,low,on,150,Normal
351,low,on,143,Normal
352,low,off,141,Normal
353,high,off,248,Critic
354,low,off,166,Normal
355,low,on,152,Normal
356,high,on,148,Normal
357,low,off,132,Normal
358,low,off,145,Normal
359,median,off,144,Normal
360,low,on,134,Normal
361,median,off,154,Normal
362,low,off,169,Normal
363,high,off,286,Critic
364,low,off,284,Critic
365,low,on,160,Normal
366,median,off,202,Critic
367,median,on,127,Normal
368,low,on,122,Normal
369,median,on,280,Critic
370,low,on,170,Normal
371,low,on,150,Normal
372,high,on,153,Critic
373,low,off,164,Normal
374,low,on,165,Normal
375,high,off,276,Critic
376,high,on,122,Normal
377,median,on,161,Normal
378,high,on,288,Critic
379,low,on,168,Normal
380,high,off,200,Critic
381,low,off,132,Normal
382,low,off,166,Normal
383,median,off,153,Normal
384,median,on,150,Normal
385,high,on,189,Critic
386,median,on,282,Critic
387,low,on,138,Normal
388,low,on,139,Normal
389,low,on,162,Normal
390,low,on,136,Normal
391,high,off,278,Critic
392,median,off,162,Normal
393,low,off,142,Normal
394,low,on,164,Normal
395,median,on,166,Normal
396,low,on,146,Normal
397,low,on,148,Normal
398,high,on,255,Critic
399,low,on,152,Normal
400,low,on,150,Normal
401,high,off,285,Critic
402,low,off,138,Normal
403,high,on,195,Critic
404,low,off,276,Critic
405,median,off,183,Critic
406,low,on,162,Normal
407,low,on,252,Critic
408,low,off,152,Normal
409,low,on,162,Normal
410,median,off,226,Critic
411,low,off,133,Normal
412,low,on,163,Normal
413,low,off,134,Normal
414,low,on,124,Normal
415,high,on,164,Normal
416,low,on,122,Normal
417,low,off,148,Normal
418,low,off,135,Normal
419,median,on,150,Normal
420,high,on,168,Normal
421,low,on,127,Normal
422,median,off,144,Normal
423,median,on,161,Normal
424,low,off,134,Normal
425,median,off,159,Normal
426,high,on,274,Critic
427,low,on,168,Normal
428,low,on,156,Normal
429,median,off,286,Critic
430,median,off,177,Critic
431,low,on,141,Normal
432,median,off,154,Normal
433,high,off,268,Critic
434,low,on,160,Normal
435,low,on,198,Critic
436,low,off,162,Normal
437,high,on,130,Normal
438,low,off,122,Normal
439,low,on,154,Normal
440,low,on,147,Normal
