user,movie,date_of_grade,grade
1,8,15-10-09,5
1,10,15-10-03,2
1,12,15-10-16,5
1,25,15-10-13,1
1,27,15-10-15,2
1,29,15-10-08,1
1,42,15-10-16,1
1,44,15-10-09,3
1,46,15-10-14,3
1,59,15-10-13,2
1,61,15-10-13,5
1,63,15-10-13,2
1,76,15-10-04,4
1,78,15-10-07,2
1,80,15-10-05,3
1,91,15-10-05,5
1,93,15-10-13,1
1,95,15-10-02,1
1,97,15-10-02,4
2,12,15-10-08,1
2,60,15-10-03,3
2,73,15-10-16,3
2,86,15-10-09,3
2,99,15-10-09,3
3,3,15-10-08,2
3,8,15-10-06,3
3,13,15-10-12,4
3,68,15-10-16,1
3,73,15-10-07,4
3,78,15-10-19,1
3,83,15-10-19,2
3,88,15-10-19,3
3,93,15-10-01,2
3,98,15-10-17,2
4,3,15-10-09,1
4,7,15-10-18,2
4,11,15-10-18,1
4,16,15-10-15,5
4,20,15-10-13,3
4,29,15-10-17,3
4,33,15-10-01,2
4,42,15-10-17,3
4,46,15-10-02,1
4,55,15-10-15,2
4,59,15-10-15,4
4,68,15-10-02,2
4,72,15-10-04,1
4,77,15-10-06,4
4,81,15-10-13,4
4,85,15-10-13,1
4,90,15-10-02,2
4,94,15-10-17,1
4,98,15-10-18,4
5,12,15-10-15,1
5,17,15-10-10,2
5,22,15-10-05,5
5,27,15-10-05,5
5,32,15-10-19,4
5,37,15-10-17,2
6,0,15-10-17,5
6,3,15-10-18,4
6,6,15-10-11,3
6,9,15-10-04,4
6,12,15-10-06,5
6,15,15-10-07,1
6,18,15-10-10,2
6,21,15-10-08,3
6,67,15-10-11,5
6,70,15-10-17,3
6,73,15-10-04,4
6,76,15-10-05,3
6,79,15-10-02,4
6,82,15-10-13,3
6,85,15-10-05,1
6,88,15-10-18,3
6,91,15-10-18,3
6,94,15-10-16,5
6,97,15-10-09,5
7,9,15-10-19,5
7,22,15-10-13,4
7,35,15-10-05,2
7,48,15-10-02,4
7,70,15-10-01,3
7,83,15-10-15,1
7,96,15-10-08,5
8,9,15-10-12,1
8,11,15-10-14,1
8,13,15-10-12,3
8,26,15-10-03,1
8,28,15-10-18,5
8,30,15-10-19,4
8,43,15-10-14,2
8,45,15-10-14,2
8,58,15-10-12,4
8,60,15-10-18,1
8,62,15-10-19,2
8,75,15-10-06,3
8,77,15-10-11,1
8,79,15-10-12,1
8,92,15-10-09,5
8,94,15-10-01,3
8,96,15-10-14,4
9,51,15-10-04,2
9,54,15-10-06,4
9,57,15-10-01,1
9,60,15-10-04,1
9,63,15-10-04,1
10,5,15-10-01,5
10,16,15-10-15,4
10,27,15-10-01,4
10,38,15-10-16,5
10,49,15-10-01,2
10,60,15-10-08,2
10,71,15-10-01,5
10,82,15-10-18,1
11,4,15-10-03,4
11,9,15-10-11,1
11,18,15-10-16,3
11,23,15-10-12,5
11,28,15-10-01,4
11,37,15-10-07,3
11,42,15-10-15,1
11,47,15-10-06,3
11,52,15-10-20,2
11,56,15-10-02,1
11,61,15-10-07,4
11,66,15-10-05,4
11,71,15-10-19,1
11,75,15-10-16,5
11,80,15-10-10,3
11,85,15-10-12,5
11,90,15-10-16,5
11,99,15-10-18,5
12,10,15-10-02,1
12,12,15-10-06,5
12,14,15-10-12,2
12,16,15-10-09,1
12,27,15-10-04,5
12,29,15-10-06,5
12,31,15-10-03,2
12,33,15-10-09,5
12,44,15-10-09,1
12,46,15-10-20,5
12,48,15-10-04,2
12,61,15-10-09,2
12,63,15-10-02,4
12,65,15-10-02,3
12,78,15-10-04,4
12,80,15-10-15,1
12,82,15-10-10,5
12,95,15-10-18,4
12,97,15-10-05,2
12,99,15-10-09,5
13,0,15-10-05,3
13,9,15-10-15,1
13,13,15-10-14,5
13,22,15-10-17,2
13,26,15-10-18,1
13,35,15-10-13,1
13,39,15-10-08,4
13,44,15-10-20,3
13,48,15-10-05,1
13,52,15-10-20,2
13,57,15-10-06,4
13,61,15-10-09,1
13,65,15-10-14,3
13,70,15-10-19,2
13,74,15-10-12,3
13,83,15-10-12,5
13,87,15-10-03,2
13,96,15-10-05,4
14,4,15-10-09,1
14,9,15-10-07,1
14,18,15-10-11,1
14,23,15-10-04,5
14,28,15-10-12,1
14,33,15-10-06,1
14,37,15-10-07,5
14,42,15-10-16,5
14,47,15-10-12,5
14,52,15-10-10,5
14,56,15-10-17,4
14,61,15-10-20,3
14,66,15-10-01,1
14,71,15-10-10,1
14,75,15-10-03,4
14,80,15-10-17,4
14,85,15-10-09,2
14,90,15-10-12,5
14,94,15-10-06,4
14,99,15-10-20,2
15,2,15-10-20,2
15,13,15-10-18,3
15,24,15-10-11,4
15,35,15-10-15,5
15,80,15-10-07,1
15,91,15-10-02,4
16,10,15-10-14,5
16,21,15-10-07,3
16,32,15-10-11,4
16,33,15-10-05,1
16,43,15-10-08,4
16,44,15-10-19,2
16,54,15-10-02,4
16,55,15-10-06,4
16,65,15-10-01,1
16,66,15-10-08,2
16,76,15-10-10,5
16,77,15-10-09,4
16,87,15-10-01,4
16,88,15-10-02,3
16,99,15-10-10,3
17,1,15-10-14,5
17,4,15-10-14,3
17,7,15-10-07,1
17,10,15-10-07,2
17,13,15-10-06,4
17,16,15-10-11,5
17,19,15-10-02,1
17,22,15-10-18,5
17,68,15-10-14,5
17,71,15-10-20,4
17,74,15-10-01,5
17,77,15-10-18,5
17,80,15-10-01,1
17,83,15-10-17,5
17,86,15-10-02,4
17,89,15-10-08,4
17,92,15-10-17,2
17,95,15-10-10,4
17,98,15-10-13,3
18,16,15-10-10,4
18,31,15-10-12,3
18,33,15-10-07,2
18,48,15-10-17,4
18,50,15-10-07,4
18,65,15-10-03,3
18,67,15-10-01,1
18,82,15-10-20,3
18,84,15-10-02,3
18,99,15-10-06,4
19,2,15-10-20,4
19,9,15-10-14,3
19,16,15-10-05,1
19,23,15-10-14,2
19,46,15-10-12,2
19,53,15-10-01,2
19,60,15-10-06,3
19,67,15-10-15,4
19,74,15-10-12,2
19,81,15-10-19,4
19,88,15-10-19,3
19,95,15-10-12,4
20,37,15-10-04,1
20,44,15-10-04,3
20,51,15-10-08,5
20,58,15-10-07,2
20,65,15-10-19,3
20,72,15-10-19,5
20,79,15-10-14,5
20,86,15-10-01,3
21,5,15-10-02,4
21,12,15-10-03,2
21,19,15-10-07,2
21,84,15-10-02,3
21,91,15-10-02,5
21,98,15-10-09,2
22,1,15-10-07,5
22,8,15-10-09,2
22,15,15-10-01,5
22,22,15-10-08,3
22,38,15-10-13,1
22,45,15-10-08,1
22,52,15-10-16,1
22,59,15-10-20,5
22,66,15-10-04,5
22,73,15-10-05,5
22,80,15-10-01,5
22,87,15-10-16,3
22,94,15-10-17,1
23,6,15-10-16,5
23,13,15-10-05,4
23,20,15-10-20,4
23,27,15-10-09,4
23,34,15-10-12,3
23,41,15-10-07,5
23,48,15-10-11,2
23,55,15-10-09,2
23,62,15-10-19,2
23,69,15-10-17,4
23,76,15-10-04,5
23,83,15-10-03,4
23,85,15-10-15,3
23,90,15-10-15,2
23,92,15-10-04,2
23,99,15-10-05,1
24,2,15-10-06,4
24,7,15-10-09,4
24,11,15-10-07,1
24,20,15-10-02,3
24,24,15-10-07,5
24,33,15-10-08,4
24,37,15-10-07,2
24,46,15-10-08,3
24,50,15-10-20,4
24,59,15-10-12,5
24,63,15-10-13,4
24,72,15-10-03,3
24,76,15-10-01,3
24,85,15-10-03,3
24,89,15-10-09,4
24,98,15-10-08,2
25,1,15-10-09,1
25,2,15-10-14,4
25,12,15-10-12,1
25,13,15-10-20,3
25,23,15-10-17,4
25,24,15-10-17,1
25,34,15-10-17,1
25,35,15-10-16,4
25,45,15-10-12,1
25,46,15-10-13,3
25,56,15-10-05,5
25,57,15-10-11,4
25,67,15-10-18,2
25,68,15-10-13,3
25,79,15-10-09,5
25,90,15-10-13,4
25,91,15-10-04,1
26,0,15-10-19,3
26,9,15-10-07,2
26,13,15-10-12,1
26,22,15-10-06,3
26,26,15-10-12,2
26,31,15-10-14,3
26,35,15-10-15,1
26,39,15-10-08,3
26,44,15-10-16,3
26,48,15-10-03,4
26,57,15-10-17,4
26,61,15-10-10,4
26,70,15-10-05,5
26,74,15-10-16,5
26,83,15-10-03,1
26,87,15-10-09,4
26,96,15-10-07,1
27,4,15-10-13,1
27,23,15-10-15,2
27,42,15-10-16,4
27,61,15-10-06,4
27,80,15-10-02,2
27,85,15-10-01,2
28,1,15-10-04,2
28,4,15-10-15,5
28,7,15-10-08,3
28,92,15-10-16,4
28,95,15-10-16,5
28,98,15-10-11,3
29,9,15-10-09,4
29,24,15-10-08,2
29,26,15-10-03,4
29,41,15-10-18,2
29,43,15-10-14,1
29,58,15-10-12,1
29,75,15-10-12,2
29,92,15-10-06,1
30,8,15-10-01,1
30,21,15-10-09,4
30,34,15-10-09,1
30,43,15-10-17,2
30,56,15-10-03,3
30,69,15-10-15,5
30,82,15-10-14,2
30,95,15-10-08,5
31,7,15-10-05,4
31,8,15-10-03,4
31,18,15-10-02,3
31,19,15-10-07,4
31,29,15-10-12,1
31,30,15-10-04,1
31,40,15-10-03,2
31,41,15-10-05,5
31,51,15-10-02,1
31,52,15-10-07,4
31,62,15-10-15,4
31,63,15-10-15,1
31,73,15-10-11,3
31,74,15-10-20,4
31,85,15-10-01,1
31,86,15-10-16,3
31,96,15-10-06,5
31,97,15-10-15,2
32,6,15-10-13,1
32,13,15-10-10,4
32,20,15-10-06,1
32,27,15-10-17,1
32,34,15-10-07,5
32,41,15-10-09,5
32,48,15-10-03,1
32,50,15-10-10,1
32,57,15-10-15,2
32,64,15-10-04,1
32,71,15-10-04,3
32,78,15-10-04,1
32,85,15-10-04,4
32,92,15-10-11,4
32,99,15-10-02,1
33,7,15-10-16,2
33,18,15-10-06,3
33,29,15-10-15,3
33,40,15-10-10,5
33,96,15-10-10,1
34,8,15-10-04,5
34,9,15-10-17,4
34,20,15-10-03,1
34,31,15-10-08,3
34,42,15-10-18,1
34,53,15-10-15,3
34,64,15-10-03,2
34,75,15-10-11,3
34,76,15-10-11,2
34,86,15-10-13,1
34,87,15-10-17,5
34,97,15-10-14,5
34,98,15-10-17,5
35,2,15-10-01,2
35,7,15-10-12,3
35,12,15-10-03,1
35,17,15-10-08,2
35,22,15-10-06,4
35,27,15-10-20,4
35,62,15-10-16,4
35,67,15-10-20,4
35,72,15-10-14,2
35,77,15-10-16,1
35,82,15-10-10,5
35,87,15-10-11,2
35,92,15-10-03,2
35,97,15-10-01,1
36,25,15-10-17,3
36,30,15-10-04,1
36,35,15-10-08,1
36,40,15-10-14,3
36,45,15-10-07,4
37,9,15-10-01,5
37,20,15-10-05,2
37,31,15-10-03,1
37,42,15-10-05,5
37,53,15-10-17,1
37,87,15-10-17,4
37,98,15-10-10,4
38,5,15-10-11,5
38,24,15-10-09,3
38,43,15-10-10,3
38,67,15-10-06,3
38,86,15-10-17,4
39,3,15-10-19,1
39,8,15-10-04,5
39,13,15-10-06,1
39,18,15-10-17,2
39,23,15-10-19,3
39,28,15-10-09,1
39,33,15-10-03,3
39,63,15-10-15,5
39,68,15-10-12,2
39,73,15-10-06,5
39,78,15-10-10,2
39,83,15-10-12,2
39,88,15-10-11,3
39,93,15-10-14,3
39,98,15-10-13,4
40,3,15-10-02,2
40,8,15-10-01,3
40,22,15-10-02,2
40,27,15-10-10,5
40,41,15-10-10,2
40,46,15-10-04,1
40,60,15-10-15,1
40,65,15-10-13,4
40,70,15-10-12,2
40,79,15-10-04,5
40,84,15-10-17,4
40,89,15-10-07,2
40,98,15-10-20,1
41,2,15-10-12,2
41,5,15-10-04,5
41,8,15-10-02,1
41,11,15-10-09,4
41,14,15-10-12,5
41,17,15-10-07,1
41,20,15-10-04,1
41,23,15-10-10,4
41,26,15-10-13,3
41,29,15-10-09,3
41,87,15-10-12,5
41,90,15-10-03,5
41,93,15-10-02,5
41,96,15-10-03,3
41,99,15-10-04,3
42,1,15-10-14,3
42,16,15-10-05,3
42,18,15-10-02,2
42,31,15-10-15,5
42,33,15-10-14,2
42,35,15-10-04,4
42,48,15-10-13,1
42,50,15-10-07,2
42,52,15-10-19,3
42,65,15-10-18,3
42,67,15-10-05,2
42,82,15-10-07,1
42,84,15-10-15,5
42,99,15-10-19,5
43,49,15-10-12,2
43,52,15-10-09,1
43,55,15-10-15,4
43,58,15-10-05,1
43,61,15-10-19,4
43,64,15-10-10,1
43,67,15-10-11,4
43,70,15-10-01,2
43,73,15-10-13,3
43,76,15-10-09,3
43,79,15-10-19,5
43,82,15-10-14,5
43,85,15-10-11,1
44,0,15-10-15,5
44,3,15-10-05,4
44,6,15-10-16,2
44,9,15-10-05,5
44,91,15-10-12,3
44,94,15-10-18,3
44,97,15-10-04,4
45,9,15-10-11,4
45,22,15-10-04,2
45,31,15-10-12,3
45,35,15-10-08,3
45,44,15-10-07,1
45,48,15-10-08,4
45,57,15-10-19,1
45,61,15-10-05,5
45,70,15-10-13,5
45,83,15-10-10,5
45,96,15-10-09,4
46,6,15-10-04,2
46,23,15-10-12,2
46,40,15-10-12,2
46,57,15-10-10,3
46,72,15-10-04,2
46,89,15-10-07,3
47,4,15-10-09,1
47,9,15-10-08,4
47,23,15-10-05,5
47,28,15-10-03,5
47,47,15-10-11,1
47,52,15-10-01,5
47,66,15-10-04,3
47,71,15-10-16,5
47,85,15-10-02,1
47,90,15-10-02,1
48,7,15-10-10,3
48,31,15-10-07,5
48,50,15-10-07,5
48,69,15-10-03,4
48,88,15-10-03,1
49,2,15-10-07,5
49,11,15-10-06,3
49,16,15-10-11,3
49,21,15-10-05,5
49,30,15-10-10,1
49,35,15-10-10,4
49,40,15-10-18,3
49,49,15-10-17,1
49,54,15-10-05,1
49,59,15-10-01,2
49,64,15-10-09,5
49,68,15-10-17,2
49,73,15-10-15,5
49,78,15-10-01,1
49,83,15-10-12,3
49,92,15-10-03,2
49,97,15-10-13,4
50,0,15-10-04,1
50,19,15-10-12,1
50,38,15-10-19,3
50,43,15-10-18,1
50,57,15-10-01,3
50,62,15-10-17,1
50,76,15-10-12,4
50,81,15-10-14,2
51,34,15-10-16,5
51,37,15-10-03,1
51,40,15-10-02,4
51,43,15-10-05,1
51,46,15-10-10,4
51,49,15-10-06,1
51,52,15-10-17,5
51,55,15-10-10,3
51,58,15-10-07,1
51,61,15-10-04,4
51,64,15-10-16,5
51,67,15-10-17,2
51,70,15-10-12,5
51,73,15-10-06,4
51,76,15-10-16,4
51,79,15-10-19,5
51,82,15-10-20,1
51,85,15-10-06,3
51,88,15-10-05,4
51,91,15-10-07,2
52,3,15-10-14,4
52,5,15-10-18,1
52,10,15-10-12,4
52,12,15-10-02,1
52,19,15-10-10,3
52,26,15-10-04,4
52,33,15-10-16,3
52,40,15-10-20,5
52,47,15-10-16,2
52,54,15-10-13,3
52,61,15-10-11,5
52,68,15-10-12,2
52,75,15-10-04,4
52,82,15-10-09,2
52,89,15-10-15,1
52,91,15-10-07,1
52,96,15-10-06,2
52,98,15-10-19,5
53,2,15-10-20,2
53,4,15-10-05,5
53,19,15-10-15,4
53,21,15-10-02,1
53,36,15-10-11,4
53,38,15-10-07,2
53,53,15-10-13,3
53,55,15-10-09,2
53,70,15-10-12,3
53,72,15-10-14,1
53,87,15-10-06,1
53,89,15-10-11,4
54,4,15-10-05,4
54,9,15-10-01,2
54,23,15-10-20,1
54,28,15-10-10,3
54,42,15-10-04,1
54,47,15-10-16,1
54,52,15-10-05,3
54,61,15-10-05,3
54,66,15-10-03,1
54,71,15-10-07,2
54,80,15-10-16,4
54,85,15-10-03,5
54,90,15-10-14,2
54,99,15-10-02,1
55,0,15-10-16,5
55,2,15-10-04,2
55,4,15-10-02,4
55,17,15-10-05,4
55,19,15-10-03,5
55,21,15-10-04,2
55,34,15-10-20,2
55,36,15-10-08,5
55,38,15-10-16,3
55,51,15-10-16,5
55,53,15-10-16,4
55,55,15-10-13,4
55,68,15-10-13,2
55,70,15-10-15,5
55,72,15-10-16,1
55,83,15-10-08,2
55,85,15-10-09,5
55,87,15-10-20,5
55,89,15-10-10,4
56,3,15-10-16,4
56,8,15-10-17,2
56,13,15-10-13,4
56,22,15-10-16,3
56,27,15-10-16,3
56,32,15-10-07,4
56,41,15-10-02,5
56,46,15-10-16,2
56,51,15-10-07,1
56,60,15-10-19,5
56,65,15-10-07,4
56,70,15-10-09,4
56,75,15-10-06,3
56,79,15-10-09,3
56,84,15-10-09,4
56,89,15-10-01,2
56,94,15-10-06,5
57,0,15-10-10,2
57,4,15-10-08,4
57,13,15-10-12,5
57,17,15-10-12,3
57,26,15-10-19,1
57,30,15-10-16,3
57,39,15-10-20,3
57,43,15-10-01,4
57,52,15-10-05,4
57,56,15-10-17,3
57,65,15-10-08,2
57,69,15-10-02,3
57,78,15-10-17,1
57,82,15-10-05,5
57,87,15-10-09,1
57,91,15-10-19,3
57,95,15-10-16,3
58,28,15-10-12,4
58,33,15-10-09,2
58,38,15-10-19,1
58,43,15-10-09,1
58,48,15-10-08,2
58,53,15-10-13,2
58,58,15-10-03,4
58,63,15-10-13,5
58,68,15-10-08,3
58,73,15-10-16,4
58,78,15-10-20,1
58,83,15-10-19,4
58,88,15-10-07,2
59,6,15-10-10,4
59,19,15-10-11,1
